Common Name,Scientific Name
serpentine springbeauty,Claytonia exigua
miner's lettuce,Claytonia perfoliata
miner's lettuce,Claytonia perfoliata ssp. mexicana
pipestem clematis,Clematis lasiantha
western white clematis,Clematis ligusticifolia
ropevine clematis,Clematis pauciflora
Virginsbower Clematis,Clematis virginiana
bladderpod spiderflower,Cleome isomeris
San Miguel calamint,Clinopodium chandleri
Butterfly Pea,Clitoria ternatea
bush rue,Cneoridium dumosum
Chaya,Cnidoscolus aconitifolius
Coconut Palm,Cocos nucifera
Chinese houses,Collinsia concolor
purple Chinese houses,Collinsia heterophylla
Taro,Colocasia esculenta
summer holly,Comarostaphylis diversifolia
jio,Commelina benghalensis
commelina,Commelina coelestis
poison hemlock,Conium maculatum
doubtful knight's-spur,Consolida ajacis
mallow bindweed,Convolvulus althaeoides
field bindweed,Convolvulus arvensis
Texas bindweed,Convolvulus equitans
asthmaweed,Conyza bonariensis
Canadian horseweed,Conyza canadensis
saltmarsh bird's-beak,Cordylanthus maritimus
stiffbranch bird's beak,Cordylanthus rigidus
stiffbranch bird's beak,Cordylanthus rigidus ssp. setigerus
giant coreopsis,Coreopsis gigantea
common sandaster,Corethrogyne filaginifolia
common sandaster,Corethrogyne filaginifolia var. filaginifolia
coriander,Coriandrum sativum
Redoul,Coriaria myrtifolia
Brown Dogwood,Cornus glabrata
Cornelian Cherry Dogwood,Cornus mas
Roundleaf Dogwood,Cornus rugosa
redosier dogwood,Cornus sericea
lesser swinecress,Coronopus didymus
Uruguayan pampas grass,Cortaderia selloana
California Hazelnut or Beaked Hazel,Corylus cornuta
Filbert,Corylus maxima
Australian waterbuttons,Cotula australis
common brassbuttons,Cotula coronopifolia
pig's ear,Cotyledon orbiculata
water pygmyweed,Crassula aquatica
sand pygmyweed,Crassula connata
sand pygmyweed,Crassula connata var. erectoides
Azarole,Crataegus azarolus
spreading alkaliweed,Cressa truxillensis
Showy Rattlebox,Crotalaria spectabilis
California croton,Croton californicus
California croton,Croton californicus var. tenuis
dove weed,Croton setigerus
"Croton, Purging",Croton tiglium
swamp pricklegrass,Crypsis schoenoides
modest prickle grass,Crypsis vaginiflora
weakstem cryptantha,Cryptantha flaccida
Clearwater cryptantha,Cryptantha intermedia
coastal cryptantha,Cryptantha leiocarpa
Tejon cryptantha,Cryptantha microstachys
pointed cryptantha,Cryptantha muricata
fingerleaf gourd,Cucurbita digitata
Missouri gourd,Cucurbita foetidissima
Cumin,Cuminum cyminum
chaparral dodder,Cuscuta californica
canyon dodder,Cuscuta ceanothi
saltmarsh dodder,Cuscuta salina
goldenthread,Cuscuta salina var. major
goldenthread,Cuscuta salina var. papillata
Morocco knapweed,Cyanopsis muricata
"Tree Fern, Rough",Cyathea australis
winged pigweed,Cycloloma atriplicifolium
Quince,Cydonia oblonga
cholla,Cylindropuntia
California cholla,Cylindropuntia californica
brownspined pricklypear,Cylindropuntia californica var. parkeri
coastal cholla,Cylindropuntia prolifera
Kenilworth ivy,Cymbalaria muralis
Lemongrass,Cymbopogon citratus
cardoon,Cynara cardunculus
Cardoon/Artichoke Thistle,Cynara cardunculus
Bermudagrass,Cynodon
Bermudagrass,Cynodon dactylon
tall flatsedge,Cyperus eragrostis
redroot flatsedge,Cyperus erythrorhizos
yellow nutsedge,Cyperus esculentus
yellow nutsedge,Cyperus esculentus var. leptostachyus
smooth flatsedge,Cyperus laevigatus
black flatsedge,Cyperus niger
fragrant flatsedge,Cyperus odoratus
bearded flatsedge,Cyperus squarrosus
bladderfern,Cystopteris
brittle bladderfern,Cystopteris fragilis
orchardgrass,Dactylis glomerata
Orchardgrass,Dactylis glomerata
False Hemp,Datisca cannabina
Durango root,Datisca glomerata
jimsonweed,Datura stramonium
sacred thorn-apple,Datura wrightii
Queen Anne's lace,Daucus carota
American wild carrot,Daucus pusillus
Cape-ivy,Delairea odorata
seaside delosperma,Delosperma litorale
scarlet larkspur,Delphinium cardinale
San Bernardino larkspur,Delphinium parryi
zigzag larkspur,Delphinium patens
zigzag larkspur,Delphinium patens ssp. hepaticoideum
Mei-Nung Bamboo,Dendrocalamus latiflorus 'Mei-Nung'
Solid Bamboo,Dendrocalamus strictus
tree poppy,Dendromecon rigida
Pacific hairgrass,Deschampsia holciformis
western tansymustard,Descurainia pinnata
Menzies' tansymustard,Descurainia pinnata ssp. menziesii
Elegant Tick Trefoil,Desmodium elegans
tapered rosette grass,Dichanthelium acuminatum
bluedicks,Dichelostemma capitatum
California ponysfoot,Dichondra donelliana
western ponysfoot,Dichondra occidentalis
hairy crabgrass,Digitaria sanguinalis
Asian Persimmon,Diospyros kaki
American Persimmon,Diospyros virginiana
orange bush monkeyflower,Diplacus aurantiacus
Cleveland's bush monkeyflower,Diplacus clevelandii
southern bush monkeyflower,Diplacus longiflorus
red bush monkeyflower,Diplacus puniceus
annual wallrocket,Diplotaxis muralis
perennial wallrocket,Diplotaxis tenuifolia
saltgrass,Distichlis spicata
padre's shootingstar,Dodecatheon clevelandii
Florida hopbush,Dodonaea viscosa
Hairy Canary Clover,Dorycnium hirsutum
wedgeleaf draba,Draba cuneifolia
"Dracaena 'Warneckei""",Dracaena deremensis 'Warneckei'
"Dragon Tree, Madagascar",Dracaena marginata
royal dewflower,Drosanthemum speciosum
coastal woodfern,Dryopteris arguta
Blochman's liveforever,Dudleya blochmaniae
sealettuce,Dudleya caespitosa
canyon liveforever,Dudleya cymosa
Santa Monica Mountains dudleya,Dudleya cymosa ssp. ovatifolia
fingertips,Dudleya edulis
lanceleaf liveforever,Dudleya lanceolata
manystem liveforever,Dudleya multicaulis
chalk dudleya,Dudleya pulverulenta
Laguna Beach liveforever,Dudleya stolonifera
bright green dudleya,Dudleya virens
sticky liveforever,Dudleya viscida
Mexican tea,Dysphania ambrosioides
cockspur grass,Echinochloa
jungle rice,Echinochloa colona
barnyardgrass,Echinochloa crus-galli
billion-dollar grass,Echinochloa frumentacea
rough barnyardgrass,Echinochloa muricata
upright burhead,Echinodorus berteroi
false daisy,Eclipta prostrata
golden eardrops,Ehrendorferia chrysantha
yellow bleeding heart,Ehrendorferia ochroleuca
