Scientific Name,Common Name,Genus,Family,Four o'clock family,Duration,Growth Habit,Fact Sheets,Plant Guides,Characteristics Data,Cultivar Name,Active Growth Period,Bloat,Coppice Potential,Fire Resistance,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Fruit Color,Fruit Conspicuous,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Nitrogen Fixation,Shape and Orientation,Toxicity,Drought Tolerance,Fertility Requirement,Moisture Use,pH (Minimum),pH (Maximum),Salinity Tolerance,Shade Tolerance,Fruit/Seed Period End,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Fuelwood Product,Lumber Product,Naval Store Product,Post Product,Pulpwood Product,Veneer Product
Amorpha curtissii,,Amorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amorpha dewinkeleri,,Amorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amorpha fruticosa,false indigo bush,Amorpha,Fabaceae,Pea family,Perennial,Shrub,,../plantguide/pdf/pg_amfr.pdf,Yes,,Spring and Summer,None,Yes,No,Purple,No,Green,Dense,Brown,Yes,15,No,No,Moderate,Medium,Climbing,Slight,Medium,Low,Low,5,8.5,Low,Intolerant,Fall,No,No,No,,No,No,No,No,No
Amorpha fruticosa,false indigo bush,Amorpha,Fabaceae,Pea family,Perennial,Shrub,,../plantguide/pdf/pg_amfr.pdf,Yes,Dark Lance,Summer,None,Yes,No,Purple,Yes,Yellow-Green,Dense,Brown,No,15,No,No,Moderate,Medium,Rounded,Slight,Medium,Low,High,5,8.5,Medium,Intolerant,Fall,No,No,No,,No,No,No,No,No
Amorpha fruticosa var. angustifolia,,Amorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amorpha fruticosa var. croceolanata,,Amorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amorpha fruticosa var. emarginata,,Amorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amorpha fruticosa var. oblongifolia,,Amorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amorpha fruticosa var. occidentalis,,Amorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amorpha fruticosa var. tennesseensis,,Amorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
